(Cycle %):,Rt Biceps Fem,L.Biceps Fem. M(uV),R.Glut.Max. M(uV),L.Glut.Max. M(uV),R.Rectus Fem. M(uV),L.Rectus Fem. M(uV),R.Vmo M(uV),L.Vmo M(uV),R.Glut.Med. M(uV),L.Glut.Med. M(uV),R.Tib.Ant. M(uV),L.Tib.Ant. M(uV),R.Med. Gastro M(uV),L.Med. Gastro M(uV),R.Soleus M(uV),L.Soleus M(uV)
12.0,4.63256992538253,2.0580404250485422,6.387710890123989,7.757550623595678,8.64149757904687,7.43077391366022,26.975852130412175,13.522176994130344,58.213379301019216,38.6637784596111,2.223030628880641,4.500686185154755,8.485741260634365,9.719141707664255,27.63339697862104,31.170380568573457
12.5,4.592101063818663,1.7686732836819448,6.3660134843469205,7.411192429150762,8.413161706991026,7.204699394770439,25.593630047195244,13.232140458449553,57.218905763781926,38.18472935168621,2.19240174823962,4.385409074605363,8.417730168107791,9.578587106440937,27.239720823721047,30.895080371633327
13.0,4.585291419722955,1.5109624685184986,6.319094187015257,7.038088795673411,8.191104279036988,6.968348089744196,24.38316726029583,12.946771931893261,55.98563017413443,37.69248225670317,2.1573372298726974,4.281451150650941,8.37027464759093,9.410623384298047,27.01214654134863,30.56088618501431
13.5,4.613320550610755,1.3341094044581876,6.2401859854361525,6.698712697285006,7.966035808106138,6.754131401011867,23.267487233748174,12.68726587776502,54.367121438437074,37.278241967077356,2.1135922161712166,4.202615934361688,8.329210268017432,9.253081794074703,26.92113223888095,30.230185178431405
14.0,4.665304737847525,1.2239158865075999,6.147978724189855,6.361906445351673,7.783201176823733,6.541525308525226,22.382408150045137,12.40892975557988,52.63995268388826,36.90203629877748,2.0705149328800863,4.135703528104159,8.289533233673103,9.099307600441751,26.904111362301958,29.886200970112508
14.5,4.7310462466019745,1.1615286745639906,6.046896472090436,6.023543328766984,7.635049472461543,6.331490259586742,21.597619616850764,12.099777479408793,50.7487229251902,36.54511999617795,2.029492871761074,4.072896758941234,8.244223681619339,8.950499180048228,26.87503178411765,29.535988302120753
15.0,4.802530778294637,1.1163873587616076,5.937053355344027,5.681590585387908,7.52152942338993,6.127794162844579,20.849238689813873,11.76178444373803,48.57978940694072,36.178077937796274,1.992902112456207,4.008847822540696,8.194637780788023,8.809922109262741,26.786259706676894,29.18635118255256
15.5,4.857108318933948,1.0748747437208341,5.839999086990351,5.3081810178087645,7.4593089702978785,5.919591351836966,20.275135057481926,11.379232586593696,46.51761826329189,35.73527850473243,1.9701255680044396,3.9391018781668405,8.162411881494737,8.67667011574446,26.65665755907223,28.811817319790663
16.0,4.894695211958537,1.0429505268574304,5.7455025883152215,4.964943351202151,7.430009564489455,5.74128061610478,19.844446011198997,11.030505561191339,44.446788407552624,35.257078739363315,1.9595155919386726,3.8808746653257247,8.160993359968282,8.581417896781572,26.51003453488856,28.46542264629187
16.5,4.916165668434748,1.019605769321092,5.637337798129538,4.629782344882912,7.42004888516833,5.574997635822024,19.54803784313029,10.701131323617634,42.25043563435008,34.69434284773942,1.9608900759651735,3.836460950801697,8.208033196521349,8.521117081773104,26.36660918557147,28.11295337259979
